method,model_type,embedding_model,boundary_embedding_model,retrieval_embedding_model,recall@1,recall@3,recall@5,recall_unconstrained@1,recall_unconstrained@3,recall_unconstrained@5,avg_chunk_size,n_chunks,fixed_size,fixed_overlap,semantic_policy,semantic_target_size,semantic_min_size,semantic_max_size,semantic_overlap,boundary_threshold
transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5517,0.7931,0.8473,0.5665,0.8030,0.8522,8.143,7346,,,target,8,4,12,0,
transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6305,0.7734,0.8621,0.6453,0.7833,0.8670,10.031,5963,,,target,10,6,14,0,
transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6305,0.8030,0.8867,0.6404,0.8177,0.8916,11.911,5022,,,target,12,8,16,0,
transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6601,0.8522,0.9163,0.6700,0.8670,0.9261,14.787,4045,,,target,15,11,19,0,
fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5222,0.7833,0.8571,0.5320,0.7980,0.8719,5.966,12005,6,1,,,,,,
fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6305,0.7783,0.8424,0.6404,0.7882,0.8571,7.929,8604,8,1,,,,,,
fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5961,0.7635,0.8571,0.6158,0.7783,0.8719,9.881,6713,10,1,,,,,,
fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6207,0.8177,0.8818,0.6355,0.8325,0.8916,11.825,5507,12,1,,,,,,
fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6700,0.8424,0.9064,0.6798,0.8522,0.9064,14.708,4349,15,1,,,,,,
bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5123,0.7389,0.8276,0.5271,0.7586,0.8424,6.511,10817,,,target,6,2,10,1,
bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5369,0.7833,0.8571,0.5567,0.7980,0.8719,8.358,8102,,,target,8,4,12,1,
bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5862,0.8177,0.8719,0.6010,0.8276,0.8768,10.173,6499,,,target,10,6,14,1,
bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6059,0.8177,0.8818,0.6207,0.8276,0.8916,11.995,5422,,,target,12,8,16,1,
bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6207,0.8128,0.8867,0.6404,0.8227,0.8916,14.838,4308,,,target,15,11,19,1,
transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5714,0.7734,0.8374,0.5911,0.7783,0.8424,6.255,11344,,,target,6,2,10,1,
transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5862,0.7537,0.8177,0.6059,0.7635,0.8374,8.251,8222,,,target,8,4,12,1,
transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5862,0.7685,0.8424,0.5961,0.7783,0.8571,10.085,6562,,,target,10,6,14,1,
transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6207,0.8079,0.8768,0.6305,0.8227,0.8867,11.916,5461,,,target,12,8,16,1,
transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6207,0.8374,0.9015,0.6305,0.8522,0.9113,14.816,4315,,,target,15,11,19,1,
