method,chunk_config,avg_chunk_size,pool_recall@20,bge_recall@1,ots_recall@1,ft_recall@1,ft_minus_ots@1,ft_minus_bge@1,bge_recall@3,ots_recall@3,ft_recall@3,ft_minus_ots@3,ft_minus_bge@3,bge_recall@5,ots_recall@5,ft_recall@5,ft_minus_ots@5,ft_minus_bge@5
fixed,"fixed_size=6,overlap=0",5.950,0.9264,0.5087,0.5446,0.6502,0.1056,0.1415,0.7316,0.7490,0.8120,0.0630,0.0804,0.8101,0.8304,0.8585,0.0281,0.0484
fixed,"fixed_size=15,overlap=0",14.649,0.9641,0.6279,0.6289,0.7355,0.1066,0.1076,0.8159,0.8159,0.8750,0.0591,0.0591,0.8808,0.8760,0.9215,0.0455,0.0407
fixed,"fixed_size=15,overlap=1",14.695,0.9593,0.6260,0.6269,0.7200,0.0930,0.0940,0.8023,0.8198,0.8779,0.0581,0.0756,0.8556,0.8750,0.9215,0.0465,0.0659
bilstm,"target=15,min=11,max=19,overlap=0",14.801,0.9632,0.6298,0.6269,0.7141,0.0872,0.0843,0.8081,0.8285,0.8750,0.0465,0.0669,0.8653,0.8769,0.9244,0.0475,0.0591
transformer,"target=15,min=11,max=19,overlap=0",14.774,0.9574,0.6366,0.6250,0.7316,0.1066,0.0950,0.8110,0.8149,0.8702,0.0552,0.0591,0.8672,0.8769,0.9099,0.0329,0.0426
