target,term,coef,se,ci95_lo,ci95_hi,t,p_value,r2_model
recall@1,intercept,0.4442550136612021,0.0055547961025892165,0.43336761330012724,0.455142414022277,79.97683541509737,1.197789477003924e-31,0.9671211975119162
recall@1,size,0.012570423497267747,0.0004643855059197406,0.011660227905665056,0.013480619088870438,27.068940216752335,4.849568980441501e-20,0.9671211975119162
recall@1,overlap,-0.003466666666666632,0.002901573397684321,-0.0091537505261279,0.0022204171927946376,-1.1947540839164361,0.24339518113001266,0.9671211975119162
recall@1,method[bilstm],-0.0034000000000001715,0.00355368713778014,-0.010365226790049246,0.003565226790048903,-0.9567527664025114,0.3478533679095094,0.9671211975119162
recall@1,method[transformer],-0.003380000000000133,0.00355368713778014,-0.010345226790049207,0.0035852267900489416,-0.9511248089530743,0.3506465097097286,0.9671211975119162
recall@3,intercept,0.6899662431693989,0.004957884883804699,0.6802487887971417,0.6996836975416562,139.1654423891981,1.1963259154887475e-37,0.9366668264309891
recall@3,size,0.007891871584699428,0.00041448323890489743,0.007079484436445829,0.008704258732953028,19.0402671180395,2.1498828045663135e-16,0.9366668264309891
recall@3,overlap,-0.005626666666666641,0.0025897740658605718,-0.01070262383575336,-0.0005507094975799208,-2.172647699596498,0.03949165374311697,0.9366668264309891
recall@3,method[bilstm],0.003089999999999749,0.003171812505225679,-0.0031267525102425817,0.00930675251024208,0.9742063866980974,0.33928687731753865,0.9366668264309891
recall@3,method[transformer],-0.0018600000000002226,0.003171812505225679,-0.008076752510242553,0.004356752510242108,-0.5864154949057687,0.5628543540919083,0.9366668264309891
recall@5,intercept,0.7633540983606559,0.004573480927923824,0.7543900757419252,0.7723181209793867,166.9087748239912,1.277056247012764e-39,0.9345425480303466
recall@5,size,0.007127049180327839,0.0003823467532027344,0.00637764954405048,0.007876448816605198,18.64027645227267,3.5344459108077607e-16,0.9345425480303466
recall@5,overlap,-0.006379999999999872,0.0023889788842284933,-0.011062398613087719,-0.001697601386912025,-2.6705970664367156,0.013119729941212821,0.9345425480303466
recall@5,method[bilstm],0.00047999999999969524,0.0029258896363216482,-0.005254743687190735,0.006214743687190125,0.1640526676198008,0.8710088166486196,0.9345425480303466
recall@5,method[transformer],-0.003610000000000252,0.0029258896363216482,-0.009344743687190682,0.002124743687190178,-1.2338127710581215,0.22874666664854187,0.9345425480303466
